Mode,"Community Hub appropriate (1=yes, 0=no)",SNOMED description,SNOMED code
CAT,1,Computed tomography angiography of pulmonary and abdominal and pelvic arteries ,
CAT,1,Computed tomography arthrography of ankle with contrast ,
CAT,1,Computed tomography arthrography of knee with contrast ,
CAT,1,Computed tomography arthrography of wrist with contrast ,
CAT,0,Computed tomography cisternography ,
CAT,0,Computed tomography cystography ,
CAT,0,Computed tomography dacryocystography of lacrimal canaliculus ,
CAT,1,Computed tomography for endovascular aneurysm repair planning ,
CAT,1,Computed tomography for measurement of brain volume ,
CAT,1,Computed tomography of abdomen and pelvis with oral and intravenous contrast ,
CAT,1,Computed tomography of abdomen and pelvis with oral contrast ,
CAT,0,Computed tomography of abdomen for radiotherapy planning ,
CAT,1,Computed tomography of base of skull with contrast ,
CAT,1,Computed tomography of bilateral ankles ,
CAT,1,Computed tomography of bilateral scapulae ,
CAT,0,Computed tomography of breast for radiotherapy planning ,
CAT,1,Computed tomography of colon using intravenous contrast ,
CAT,1,Computed tomography of facial bones with contrast ,
CAT,1,Computed tomography of floor of mouth ,
CAT,1,Computed tomography of floor of mouth with contrast ,
CAT,1,Computed tomography of head and neck and thorax and abdomen with contrast ,
CAT,0,Computed tomography of head and neck for radiotherapy planning ,
CAT,1,Computed tomography of head and neck with contrast ,
CAT,1,Computed tomography of head and orbits ,
CAT,0,Computed tomography of head for radiotherapy planning ,
CAT,1,"Computed tomography of head, thorax and abdomen with contrast ",
CAT,1,"Computed tomography of head, thorax, abdomen and pelvis ",
CAT,0,Computed tomography of heart ,
CAT,0,Computed tomography of heart with contrast ,
CAT,1,Computed tomography of internal auditory meatus with air contrast ,
CAT,1,Computed tomography of larynx ,
CAT,1,Computed tomography of left shoulder with contrast ,
CAT,0,Computed tomography of lower limb for radiotherapy planning ,
CAT,1,Computed tomography of lower limb with contrast ,
CAT,1,Computed tomography of middle ear ,
CAT,1,Computed tomography of nasopharynx ,
CAT,1,Computed tomography of nasopharynx with contrast ,
CAT,0,Computed tomography of neck for radiotherapy planning ,
CAT,1,"Computed tomography of neck, thorax, abdomen and pelvis with oral and intravenous contrast ",
CAT,1,Computed tomography of peritoneal cavity with contrast ,
CAT,0,Computed tomography of prostate for radiotherapy planning ,
CAT,1,Computed tomography of right hip with contrast ,
CAT,1,Computed tomography of right shoulder with contrast ,
CAT,1,Computed tomography of sacroiliac joints ,
CAT,1,Computed tomography of salivary glands ,
CAT,1,Computed tomography of shoulder with contrast ,
CAT,0,Computed tomography of spine for radiotherapy planning ,
CAT,1,Computed tomography of submandibular area ,
CAT,1,Computed tomography of temporal bone with contrast ,
CAT,1,Computed tomography of thigh with contrast ,
CAT,1,Computed tomography of thoracic and lumbar spine ,
CAT,0,Computed tomography of thoracic spine for radiotherapy planning ,
CAT,1,Computed tomography of upper arm with contrast ,
CAT,1,Computed tomography of whole body with contrast ,
CAT,1,Computed tomography perfusion study of liver ,
CAT,1,Computed tomography perfusion study of thorax ,
CAT,1,Computed tomography scan - whole body ,
CAT,1,Computed tomography shoulder region structure ,
CAT,1,Computed tomography sialogram ,
CAT,0,Computed tomography stereotactic localization ,
CAT,1,Computed tomography triple phase study of abdomen and pelvis with contrast ,
CAT,1,Computed tomography triple phase study of pancreas ,
CAT,1,Computerised tomography of midfoot ,
CAT,1,Computerized axial tomography of lumbar spine with contrast ,
CAT,1,Computerized axial tomography of thoracic spine with contrast ,
CAT,0,Drainage of thorax using computed tomography guidance ,
CAT,0,Embolization using computed tomography guidance ,
CAT,0,Forensic computed tomography ,
CAT,1,Four dimensional computed tomography angiography of cerebrum ,
CAT,1,Gated computed tomography for complex congenital heart disease with contrast ,
CAT,0,Injection of sacroiliac joint using computed tomography guidance ,
CAT,1,Low dose computed tomography colonography ,
CAT,1,Low dose computed tomography of entire skeleton ,
CAT,1,Low dose computed tomography of thorax ,
CAT,0,Lumbar epidural injection using computed tomography guidance ,
CAT,0,Nephrostomy using computed tomography guidance ,
CAT,0,Percutaneous aspiration of thorax using computed tomography guidance ,
CAT,0,Percutaneous cryoablation of neoplasm of right kidney using computed tomography guidance ,
CAT,0,Post mortem computed tomography ,
CAT,0,Radiofrequency ablation of lesion of liver using computed tomography guidance ,
CAT,0,Radionuclide imaging with computed tomography attenuation correction and diagnostic study ,
CAT,0,Radionuclide imaging with computed tomography attenuation correction and localization ,
CAT,1,Respiratory and electrocardiography gated cardiac computed tomography of heart ,
CAT,1,Retrospectively electrocardiogram gated computed tomography angiography of coronary artery ,
CAT,1,Virtual computed tomography colonoscopy with radiopaque contrast ,
Diagnostic ultrasonography,1,Echography of kidney ,306005
Diagnostic ultrasonography,1,Diagnostic Doppler ultrasonography ,8306009
Diagnostic ultrasonography,1,Diagnostic ultrasonography ,16310003
Diagnostic ultrasonography,1,Ultrasound study of eye ,19731001
Diagnostic ultrasonography,0,Fetal biophysical profile ,21623001
Diagnostic ultrasonography,0,"Echography of prostate, transrectal approach ",22034001
Diagnostic ultrasonography,1,Echography of scrotum and contents ,24737001
Diagnostic ultrasonography,1,Pelvic echography ,24848001
Diagnostic ultrasonography,1,Ultrasonography of abdomen ,45036003
Diagnostic ultrasonography,1,Ultrasonography of breast ,47079000
Diagnostic ultrasonography,0,Ultrasonic guidance for amniocentesis ,65388005
Diagnostic ultrasonography,1,Ultrasound for foreign body localization ,69610007
Diagnostic ultrasonography,0,Transesophageal echocardiography ,105376000
Diagnostic ultrasonography,1,Ultrasonography of liver ,105377009
Diagnostic ultrasonography,0,Placental localization ,164817009
Diagnostic ultrasonography,0,Dating/booking ultrasound scan ,169229007
Diagnostic ultrasonography,1,Ultrasound skull scan ,169238009
Diagnostic ultrasonography,1,Ultrasound scan of gallbladder ,169250003
Diagnostic ultrasonography,1,Ultrasound scan of bladder ,169251004
Diagnostic ultrasonography,1,Ultrasound scan of neck ,241453007
Diagnostic ultrasonography,1,Ultrasound scan of parathyroid ,241454001
Diagnostic ultrasonography,1,Ultrasound scan of thyroid ,241455000
Diagnostic ultrasonography,1,Ultrasound scan of salivary glands ,241456004
Diagnostic ultrasonography,1,Ultrasound scan of parotid gland ,241457008
Diagnostic ultrasonography,1,Ultrasound scan of submandibular gland ,241458003
Diagnostic ultrasonography,1,Ultrasound scan of abdominal aorta ,241462009
Diagnostic ultrasonography,1,Ultrasound scan of spleen ,241476005
Diagnostic ultrasonography,1,Ultrasound scan of adrenals ,241480000
Diagnostic ultrasonography,1,Ultrasound scan of transplant kidney ,241484009
Diagnostic ultrasonography,1,Ultrasound scan of penis ,241485005
Diagnostic ultrasonography,1,Ultrasound scan of prostate ,241487002
Diagnostic ultrasonography,0,Ultrasound scan for fetal growth ,241493005
Diagnostic ultrasonography,0,Ultrasound scan for amniotic fluid volume ,241494004
Diagnostic ultrasonography,1,Ultrasound scan of shoulder joint ,241497006
Diagnostic ultrasonography,1,Ultrasound scan of elbow ,241498001
Diagnostic ultrasonography,1,Ultrasonography of wrist ,241499009
Diagnostic ultrasonography,1,Ultrasonography of finger ,241500000
Diagnostic ultrasonography,1,Ultrasound scan of hip ,241502008
Diagnostic ultrasonography,1,Ultrasonography of knee ,241504009
Diagnostic ultrasonography,1,Ultrasonography of ankle ,241505005
Diagnostic ultrasonography,1,Ultrasound scan of joints of foot ,241506006
Diagnostic ultrasonography,1,Ultrasonography of Achilles tendon ,241512001
Diagnostic ultrasonography,1,Ultrasound scan of spine ,241516003
Diagnostic ultrasonography,0,Ultrasound scan - obstetric ,268445003
Diagnostic ultrasonography,0,Fetal anatomy study ,271442007
Diagnostic ultrasonography,0,Ultrasound guided biopsy ,277667006
Diagnostic ultrasonography,1,Ultrasound of urinary tract ,303917008
Diagnostic ultrasonography,1,Ultrasound scan of hand ,303924009
Diagnostic ultrasonography,1,Carotid artery doppler assessment ,394719009
Diagnostic ultrasonography,1,Ankle brachial pressure index ,401221002
Diagnostic ultrasonography,0,Nuchal ultrasound scan ,414880004
Diagnostic ultrasonography,1,Ultrasound doppler scan of iliac and femoral arteries ,417912007
Diagnostic ultrasonography,0,Ultrasound scan and drainage of pelvis ,418030000
Diagnostic ultrasonography,0,Ultrasound obstetric doppler ,418090003
Diagnostic ultrasonography,1,Ultrasonography of inguinal region ,418105000
Diagnostic ultrasonography,1,Doppler ultrasonography of kidney ,418354002
Diagnostic ultrasonography,1,Ultrasound scan of abdomen and pelvis ,418394000
Diagnostic ultrasonography,1,Ultrasound scan of upper abdomen ,418398002
Diagnostic ultrasonography,1,Ultrasound doppler scan of penis ,418762008
Diagnostic ultrasonography,1,Ultrasound doppler scan of femoropopliteal artery ,418793009
Diagnostic ultrasonography,1,Ultrasound scan of diaphragm ,418889006
Diagnostic ultrasonography,1,Ultrasound doppler scan of vertebral arteries ,418956005
Diagnostic ultrasonography,0,Ultrasound scan and biopsy of pelvis ,420041003
Diagnostic ultrasonography,1,Ultrasound scan of lower abdomen ,420052009
Diagnostic ultrasonography,1,Ultrasound scan of thigh ,425410009
Diagnostic ultrasonography,1,Ultrasound scan of buttock ,425848005
Diagnostic ultrasonography,1,Ultrasonography of forearm ,426019005
Diagnostic ultrasonography,1,Ultrasound scan of left hip ,426100003
Diagnostic ultrasonography,0,Obstetric uterine artery Doppler ,426295007
Diagnostic ultrasonography,1,Ultrasound scan of calcaneum ,426494009
Diagnostic ultrasonography,0,Endoscopic ultrasound examination of pancreas ,426808008
Diagnostic ultrasonography,1,Ultrasound scan of chest wall ,426827002
Diagnostic ultrasonography,1,Ultrasound scan of both hips ,426903000
Diagnostic ultrasonography,1,Ultrasound scan of upper arm ,427043003
Diagnostic ultrasonography,1,Ultrasound scan of lower leg ,427253008
Diagnostic ultrasonography,1,Ultrasound scan of right hip ,427472005
Diagnostic ultrasonography,0,Obstetric umbilical artery Doppler ,427623005
Diagnostic ultrasonography,1,Ultrasound scan of sacral spine ,428605000
Diagnostic ultrasonography,1,Transvaginal doppler ultrasonography of pelvis ,429807002
Diagnostic ultrasonography,0,Endorectal ultrasonography ,429820004
Diagnostic ultrasonography,1,Transvaginal ultrasonography of pelvis ,429915000
Diagnostic ultrasonography,0,Transvaginal nuchal ultrasonography ,430063002
Diagnostic ultrasonography,0,Transvaginal obstetric ultrasonography ,430064008
Diagnostic ultrasonography,0,Ablation using ultrasound guidance ,430270007
Diagnostic ultrasonography,1,Ultrasonography of artery ,431201002
Diagnostic ultrasonography,0,Injection of tendon using ultrasound guidance ,431203004
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of artery of lower limb ,431217008
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of vein of lower limb ,431218003
Diagnostic ultrasonography,0,Injection of trochanteric bursa using ultrasound guidance ,431227002
Diagnostic ultrasonography,0,Injection of bursa using ultrasound guidance ,431248000
Diagnostic ultrasonography,1,Doppler ultrasonography of artery of lower limb ,431323001
Diagnostic ultrasonography,1,Doppler ultrasonography of artery of upper limb ,431324007
Diagnostic ultrasonography,0,Injection of tendon sheath using ultrasound guidance ,431344001
Diagnostic ultrasonography,0,Hydrodistension of glenohumeral joint using ultrasound guidance ,431345000
Diagnostic ultrasonography,1,Marking of skin using ultrasound guidance ,431349006
Diagnostic ultrasonography,1,Doppler ultrasonography of liver and portal system ,431362005
Diagnostic ultrasonography,1,Doppler ultrasonography of superior mesenteric artery ,431363000
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of axilla using ultrasound guidance ,431364006
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of vein of upper limb ,431394000
Diagnostic ultrasonography,1,Ultrasound doppler flow mapping of artery of upper limb ,431512001
Diagnostic ultrasonography,0,Biopsy of soft tissue using ultrasound guidance ,431513006
Diagnostic ultrasonography,0,Endoanal ultrasound examination of rectal sphincter ,431553009
Diagnostic ultrasonography,0,Transrectal biopsy of prostate using ultrasound guidance ,431605004
Diagnostic ultrasonography,0,Insertion of drain into thorax using ultrasound guidance ,431618007
Diagnostic ultrasonography,1,Ultrasonography of calf ,431622002
Diagnostic ultrasonography,1,Ultrasonography of cervical spine ,431623007
Diagnostic ultrasonography,1,Transcranial doppler ultrasonography ,431648005
Diagnostic ultrasonography,1,Doppler ultrasonography of aorta and iliac artery ,431653000
Diagnostic ultrasonography,0,Injection of marker into breast using ultrasound guidance ,431717009
Diagnostic ultrasonography,0,Fine needle aspiration and core needle biopsy of axilla using ultrasound guidance ,431732002
Diagnostic ultrasonography,0,Biopsy of tibia and fibula using ultrasound guidance ,431744004
Diagnostic ultrasonography,1,Doppler ultrasonography flow mapping of vein ,431750009
Diagnostic ultrasonography,1,Ultrasonography of cranial cavity ,431756003
Diagnostic ultrasonography,1,Ultrasonography of pleural cavity ,431757007
Diagnostic ultrasonography,1,Ultrasonography of supraclavicular fossa ,431767002
Diagnostic ultrasonography,0,Insertion of central venous catheter using doppler ultrasound guidance ,431779002
Diagnostic ultrasonography,1,Ultrasound compression venography of lower limb ,431785009
Diagnostic ultrasonography,0,Embolization using ultrasound guidance ,431805002
Diagnostic ultrasonography,0,Biopsy of femur using ultrasound guidance ,431810003
Diagnostic ultrasonography,0,Measurement of cervical length using obstetric ultrasonography ,431816009
Diagnostic ultrasonography,1,Doppler ultrasonography of vein of upper limb ,431818005
Diagnostic ultrasonography,0,Endoscopic ultrasonography of stomach ,431841002
Diagnostic ultrasonography,1,Ultrasonography of subtalar joint ,431843004
Diagnostic ultrasonography,1,Ultrasonography of acromioclavicular joint ,431844005
Diagnostic ultrasonography,0,Barbotage of joint using ultrasound guidance ,431848008
Diagnostic ultrasonography,1,Ultrasonography of graft ,431895007
Diagnostic ultrasonography,0,Measurement of cervical length using transvaginal obstetric ultrasonography ,431941001
Diagnostic ultrasonography,0,Injection of hip using ultrasound guidance ,431979006
Diagnostic ultrasonography,0,Injection of knee using ultrasound guidance ,431980009
Diagnostic ultrasonography,0,Aspiration of shoulder using ultrasound guidance ,431983006
Diagnostic ultrasonography,1,Doppler ultrasonography of transplanted kidney ,431988002
Diagnostic ultrasonography,0,Injection of intermetatarsal bursa using ultrasound guidance ,431998008
Diagnostic ultrasonography,1,Ultrasonography of thumb ,432002003
Diagnostic ultrasonography,1,Ultrasonography of rib ,432003008
Diagnostic ultrasonography,1,Ultrasonography of scalp ,432004002
Diagnostic ultrasonography,1,Marking of skin over long saphenous vein using ultrasound guidance ,432089005
Diagnostic ultrasonography,0,Injection of foot using ultrasound guidance ,432106002
Diagnostic ultrasonography,0,Aspiration of hand using ultrasound guidance ,432107006
Diagnostic ultrasonography,0,Injection of hand using ultrasound guidance ,432147004
Diagnostic ultrasonography,0,Aspiration of foot using ultrasound guidance ,432148009
Diagnostic ultrasonography,0,Vacuum assisted biopsy of breast using ultrasound guidance ,432157003
Diagnostic ultrasonography,1,Ultrasonography of popliteal fossa ,432216002
Diagnostic ultrasonography,0,Biopsy of neck using ultrasound guidance ,432217006
Diagnostic ultrasonography,0,Injection of wrist using ultrasound guidance ,432234003
Diagnostic ultrasonography,0,Injection using ultrasound guidance ,432235002
Diagnostic ultrasonography,0,Aspiration of knee using ultrasound guidance ,432236001
Diagnostic ultrasonography,0,Aspiration of hip using ultrasound guidance ,432237005
Diagnostic ultrasonography,0,Aspiration of neck using ultrasound guidance ,432238000
Diagnostic ultrasonography,0,Endoscopic ultrasonography of esophagus ,432239008
Diagnostic ultrasonography,1,Ultrasonography of plantar fascia ,432245000
Diagnostic ultrasonography,0,Transvaginal obstetric doppler ultrasonography ,432246004
Diagnostic ultrasonography,0,Insertion of drain using ultrasound guidance ,432273003
Diagnostic ultrasonography,0,Aspiration of elbow using ultrasound guidance ,432311005
Diagnostic ultrasonography,0,Core needle biopsy of axilla using ultrasound guidance ,432313008
Diagnostic ultrasonography,1,Doppler ultrasonography of vein of lower limb ,432336004
Diagnostic ultrasonography,0,Fine needle aspiration biopsy of breast using ultrasound guidance ,432337008
Diagnostic ultrasonography,1,Ultrasonography of coccyx ,432372006
Diagnostic ultrasonography,1,Ultrasonography of temporomandibular joint ,432404005
Diagnostic ultrasonography,1,Ultrasonography of sternum ,432405006
Diagnostic ultrasonography,0,Insertion of dialysis catheter using doppler ultrasound guidance ,432509002
Diagnostic ultrasonography,0,Aspiration of thorax using ultrasound guidance ,432539007
Diagnostic ultrasonography,0,Core needle biopsy of breast using ultrasound guidance ,432550005
Diagnostic ultrasonography,0,Aspiration of abdomen using ultrasound guidance ,432556004
Diagnostic ultrasonography,0,Aspiration using ultrasound guidance ,432557008
Diagnostic ultrasonography,0,Insertion of suprapubic catheter using ultrasound guidance ,432587002
Diagnostic ultrasonography,0,Aspiration of wrist using ultrasound guidance ,432629009
Diagnostic ultrasonography,1,Ultrasonography of axilla ,432635009
